Formula                         icsd     idk1 idk2
Cu1Sb3Zr2                      195058  115   SEBR
Cu1Sb3Ti2                       93241  115   SEBR
Cu1Hf2Sb3                       93243  115   SEBR
Mo3P1                          237706  121   SEBR
Ir1Zr3                         104607  121   SEBR
Cu3Sb1Se4                      400652  121   SEBR
Cu3S4Sb1                       412239  121   SEBR
Cu3S4Sb1                         2857  121   SEBR
Cu2Hg1Se4Sn1                    95119  121   SEBR
Cu2Ge1Hg1Se4                   152761  121   SEBR
Cu2Fe1Se4Sn1                    85126  121   SEBR
Cd1Cu2Ge1Te4                   165094  121   SEBR
In5Rh1U1                       193701  123   SEBR
Ga5Ir1U1                       103639  123   SEBR
Fe1Si2                           5257  123   SEBR
Ce1In5Rh1                      150226  123   SEBR
Ce1In5Rh1                      110780  123   SEBR
Ce1In5Rh1                      110779  123   SEBR
Ce1In5Rh1                      110778  123   SEBR
Ce1In5Rh1                      110777  123   SEBR
Ce1In5Ir1                      150225  123   SEBR
Ba2Cu3Ho1O6                     68047  123   SEBR
Ba2Cu2O7Tl1Y1                   74163  123   SEBR
Ba1O1Sb2Ti2                    430061  123   SEBR
Ba1O1Sb2Ti2                    430060  123   SEBR
Ba1O1Sb2Ti2                    237789  123   SEBR
Ba1Ge3Mg4                      165631  123   SEBR
As3Rb1Zn4                      262038  123   SEBR
As3Cs1Zn4                      262030  123   SEBR
Ag1Sb1Te2                      170662  123   SEBR
Ce1Ga6                         152562  125   SEBR
Ce1Ga6                         102167  125   SEBR
B2Nb2Os1                       425655  128   SEBR
Sn1Te1Zr1                       80190  129   SEBR
Si1Te1Zr1                       74522  129   SEBR
Pd2Sb2Sr1                       61194  129   SEBR
Ge1S1U1                         87315  129   SEBR
Fe1Se1                         169271  129   SEBR
Fe1Se1                         169269  129   SEBR
Fe1Se1                         169267  129   SEBR
Fe1Se1                         169265  129   SEBR
Fe1Se1                         169263  129   SEBR
Fe1Se1                         169261  129   SEBR
Fe1Se1                         169259  129   SEBR
Fe1Se1                         169257  129   SEBR
Fe1Se1                         169255  129   SEBR
Fe1Se1                         169253  129   SEBR
F1Ho1S1                         94475  129   SEBR
Cu1P1Si1Zr1                     59594  129   SEBR
Cs1F4Ti1                        27230  129   SEBR
Cs1F4Fe1                        62696  129   SEBR
Cs1F4Fe1                         6043  129   SEBR
Cl1Mn1O3Sr2                     97019  129   SEBR
Cl1Mn1O3Sr2                     97018  129   SEBR
Cl1Mn1O3Sr2                     96044  129   SEBR
Cl1Mn1O3Sr2                     94745  129   SEBR
Ce1Ge2Pt2                       61371  129   SEBR
Bi1I1O3Te1                      92318  129   SEBR
Ba1Ni1S2                       246945  129   SEBR
Ba1Ni1S2                        15289  129   SEBR
Au2Ga2Sr1                      370004  129   SEBR
As2Pd1U1                        56976  129   SEBR
As1La1Ni1O1                    246061  129   SEBR
As1Cu1Si1Zr1                    42165  129   SEBR
U1                              76166  136   SEBR
Li2Sr3                         421229  136   SEBR
Fe2O6Te1                        93213  136   SEBR
Co2K4O5Rb2                      33797  136   SEBR
Cd4Pt2Sr1                      237545  136   SEBR
Ca1Cu4P2                        62553  136   SEBR
Ba1Hg2Tl2                      260392  136   SEBR
Ba1Hg2Tl2                      260391  136   SEBR
Ba1Cd4Pt2                      237544  136   SEBR
Np2Se5                         250760  137   SEBR
Ba2S6U1                        248874  137   SEBR
Si3Y1                          263005  139   SEBR
Sb1Sr2                          42119  139   SEBR
Ru1Zn3                         416747  139   SEBR
Ru1Zn3                         249448  139   SEBR
Ru1Zn3                         155990  139   SEBR
Pt2Th1                         251818  139   SEBR
Pd3Tl1                         247272  139   SEBR
Pd2Sb2Sr1                       61195  139   SEBR
Pd1Zr2                         105758  139   SEBR
P2Ru2Sr1                        42966  139   SEBR
P2Rh2Sr1                        50186  139   SEBR
O7Sr3V2                         71451  139   SEBR
O7Sr3V2                         71320  139   SEBR
O7Ru2Sr3                        56577  139   SEBR
O4Te3U4                         79214  139   SEBR
Ni2Si2Th1                       68211  139   SEBR
Ni2Sc1Si3                       41771  139   SEBR
Na2O1Sb2Ti2                     91220  139   SEBR
Na2O1Sb2Ti2                     91219  139   SEBR
Na2O1Sb2Ti2                     91218  139   SEBR
Na2O1Sb2Ti2                     91217  139   SEBR
Na2O1Sb2Ti2                     91216  139   SEBR
